iter	Passed	Remaining
0	136	68206
1	216	53813
2	277	45938
3	337	41869
4	393	38998
5	452	37221
6	537	37846
7	594	36549
8	651	35546
9	706	34599
10	765	34025
11	828	33695
12	908	34047
13	965	33529
14	1027	33234
15	1082	32738
16	1138	32358
17	1198	32087
18	1256	31816
19	1311	31479
20	1370	31254
21	1427	31008
22	1481	30734
23	1536	30471
24	1598	30376
25	1663	30334
26	1727	30261
27	1785	30098
28	1843	29941
29	1897	29735
30	1951	29530
31	2006	29346
32	2065	29228
33	2121	29074
34	2177	28926
35	2232	28770
36	2285	28597
37	2338	28429
38	2393	28294
39	2448	28156
40	2501	28006
41	2556	27881
42	2610	27746
43	2675	27730
44	2733	27640
45	2790	27543
46	2843	27408
47	2900	27312
48	2953	27188
49	3007	27070
50	3067	27006
51	3122	26903
52	3173	26766
53	3229	26671
54	3282	26556
55	3338	26468
56	3389	26340
57	3443	26243
58	3495	26128
59	3549	26026
60	3604	25942
61	3658	25842
62	3716	25781
63	3770	25686
64	3826	25610
65	3878	25505
66	3934	25424
67	3986	25325
68	4037	25220
69	4084	25091
70	4134	24979
71	4183	24869
72	4237	24789
73	4295	24725
74	4353	24668
75	4409	24600
76	4457	24485
77	4507	24385
78	4560	24301
79	4606	24184
80	4661	24111
81	4715	24038
82	4766	23945
83	4821	23877
84	4874	23800
85	4926	23716
86	4972	23603
87	5028	23544
88	5079	23456
89	5132	23380
90	5183	23296
91	5237	23229
92	5292	23160
93	5337	23055
94	5383	22950
95	5438	22885
96	5484	22784
97	5532	22692
98	5582	22613
99	5635	22542
100	5690	22478
101	5737	22386
102	5791	22322
103	5838	22230
104	5880	22122
105	5932	22049
106	5997	22026
107	6046	21945
108	6097	21873
109	6153	21818
110	6201	21733
111	6250	21653
112	6295	21561
113	6341	21472
114	6396	21415
115	6438	21313
116	6490	21246
117	6541	21175
118	6586	21087
119	6639	21025
120	6691	20960
121	6744	20895
122	6791	20815
123	6846	20760
124	6899	20699
125	6950	20630
126	7005	20574
127	7069	20546
128	7115	20463
129	7168	20402
130	7233	20374
131	7276	20286
132	7327	20220
133	7374	20143
134	7443	20124
135	7495	20062
136	7553	20013
137	7609	19960
138	7663	19901
139	7703	19808
140	7766	19774
141	7818	19710
142	7883	19680
143	7937	19622
144	7993	19569
145	8043	19503
146	8105	19463
147	8153	19392
148	8207	19335
149	8253	19258
150	8311	19209
151	8379	19185
152	8434	19129
153	8477	19046
154	8542	19014
155	8598	18960
156	8642	18881
157	8700	18833
158	8765	18798
159	8806	18713
160	8849	18632
161	8903	18576
162	8958	18522
163	9002	18443
164	9047	18368
165	9096	18301
166	9143	18231
167	9193	18168
168	9243	18103
169	9292	18038
170	9349	17987
171	9406	17937
172	9468	17897
173	9519	17834
174	9573	17779
175	9615	17700
176	9696	17694
177	9750	17639
178	9798	17571
179	9858	17525
180	9906	17459
181	9958	17399
182	10010	17340
183	10067	17289
184	10124	17239
185	10179	17184
186	10231	17125
187	10279	17059
188	10330	16999
189	10388	16949
190	10441	16891
191	10488	16825
192	10531	16752
193	10586	16698
194	10642	16645
195	10687	16577
196	10734	16510
197	10777	16439
198	10828	16379
199	10890	16335
200	10942	16277
201	10995	16221
202	11055	16175
203	11115	16128
204	11166	16069
205	11211	16000
206	11256	15932
207	11305	15871
208	11350	15803
209	11393	15733
210	11439	15668
211	11499	15621
212	11556	15570
213	11605	15510
